dia_de_semana,hora,linea,estacion,trx_promedio
False,7,E,JOSE MARIA MORENO,7.571428571428571
False,7,E,JUJUY,5.972222222222222
False,7,E,MEDALLA MILAGROSA,3.972972972972973
False,7,E,PICHINCHA,4.439024390243903
False,7,E,PZA. DE LOS VIRREYES,12.298076923076923
False,7,E,RETIRO E,2.871212121212121
False,7,E,SAN JOSE,5.815789473684211
False,7,E,URQUIZA,5.758620689655173
False,7,E,VARELA,5.513513513513513
False,7,H,CASEROS,6.591549295774648
False,7,H,CORDOBA,6.178571428571429
False,7,H,CORRIENTES,4.0
False,7,H,FACULTAD DE DERECHO,1.7142857142857142
False,7,H,HOSPITALES,21.921739130434784
False,7,H,HUMBERTO I,11.44186046511628
False,7,H,INCLAN,11.5
False,7,H,LAS HERAS,7.194444444444445
False,7,H,ONCE,13.127118644067796
False,7,H,PATRICIOS,14.80952380952381
False,7,H,SANTA FE,4.99009900990099
False,7,H,VENEZUELA,9.561643835616438
False,8,A,ACOYTE,7.714285714285714
False,8,A,ALBERTI,8.583333333333334
False,8,A,CARABOBO,6.953389830508475
False,8,A,CASTRO BARROS,8.72972972972973
False,8,A,CONGRESO,8.625766871165645
False,8,A,FLORES,10.201058201058201
False,8,A,LIMA,7.228571428571429
False,8,A,LORIA,8.1125
False,8,A,PASCO,4.784810126582278
False,8,A,PERU,3.432258064516129
False,8,A,PIEDRAS,5.589743589743589
False,8,A,PLAZA DE MAYO,11.60655737704918
False,8,A,PLAZA MISERERE,9.772727272727273
False,8,A,PRIMERA JUNTA,13.80281690140845
False,8,A,PUAN,6.97457627118644
False,8,A,RIO DE JANEIRO,9.566433566433567
False,8,A,SAENZ PEÃÂÃÂ±A ,6.282894736842105
False,8,A,SAN PEDRITO,13.727848101265822
False,8,B,ANGEL GALLARDO,11.0
False,8,B,CALLAO.B,7.607734806629834
False,8,B,CARLOS GARDEL,7.545945945945946
False,8,B,CARLOS PELLEGRINI,13.929936305732484
False,8,B,DORREGO,5.561497326203209
False,8,B,ECHEVERRIA,6.3768115942028984
False,8,B,FEDERICO LACROZE,11.709812108559499
False,8,B,FLORIDA,3.2794117647058822
False,8,B,LEANDRO N. ALEM,10.495327102803738
False,8,B,LOS INCAS,8.89375
False,8,B,MALABIA,11.643617021276595
False,8,B,MEDRANO,13.222222222222221
False,8,B,PASTEUR,5.379518072289157
False,8,B,PUEYRREDON,6.621890547263682
False,8,B,ROSAS,15.198083067092652
False,8,B,TRONADOR,5.865168539325842
False,8,B,URUGUAY,4.1525423728813555
False,8,C,AVENIDA DE MAYO,7.159090909090909
False,8,C,CONSTITUCION,32.465991316931984
False,8,C,DIAGONAL NORTE,2.9036144578313254
False,8,C,GENERAL SAN MARTIN,4.162162162162162
False,8,C,INDEPENDENCIA,7.575221238938053
False,8,C,LAVALLE,6.864583333333333
False,8,C,MARIANO MORENO,2.979020979020979
False,8,C,RETIRO,23.778443113772454
False,8,C,SAN JUAN,9.655555555555555
False,8,D,9 DE JULIO,4.5049504950495045
False,8,D,AGÃÂÃÂ¼ERO,13.761904761904763
False,8,D,BULNES,10.801324503311259
False,8,D,CALLAO,9.467289719626168
False,8,D,CATEDRAL,5.079207920792079
False,8,D,CONGRESO DE TUCUMAN,9.006315789473684
False,8,D,FACULTAD DE MEDICINA,6.7407407407407405
False,8,D,JOSE HERNANDEZ,6.780612244897959
False,8,D,JURAMENTO,8.153488372093022
False,8,D,MINISTRO CARRANZA,11.379562043795621
False,8,D,OLLEROS,7.043478260869565
False,8,D,PALERMO,18.0251572327044
False,8,D,PLAZA ITALIA,12.927083333333334
False,8,D,PUEYRREDON.D,8.510416666666666
False,8,D,SCALABRINI ORTIZ,10.366666666666667
False,8,D,TRIBUNALES,6.398148148148148
False,8,E,AVENIDA LA PLATA,8.909090909090908
False,8,E,BOEDO,8.241379310344827
False,8,E,BOLIVAR,5.8088235294117645
False,8,E,CATALINAS,1.5
False,8,E,CORREO CENTRAL,2.204225352112676
False,8,E,EMILIO MITRE,8.887096774193548
False,8,E,ENTRE RIOS,7.613636363636363
False,8,E,GENERAL BELGRANO,4.833333333333333
False,8,E,INDEPENDENCIA.H,5.774774774774775
False,8,E,JOSE MARIA MORENO,8.363636363636363
False,8,E,JUJUY,8.6
